ok  	github.com/n-orlov/deck/cmd/deck	7.359s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.791s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.767s
ok  	github.com/n-orlov/deck/features	306.597s
ok  	github.com/n-orlov/deck/internal/agent	0.003s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.024s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.166s
ok  	github.com/n-orlov/deck/internal/interactive	10.938s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.336s
ok  	github.com/n-orlov/deck/internal/store	2.322s
ok  	github.com/n-orlov/deck/internal/theme	0.004s
ok  	github.com/n-orlov/deck/internal/tmux	19.453s
ok  	github.com/n-orlov/deck/internal/tui	1.082s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
